А A
а a
Ӓ Ä
ӓ ä
Ӑ Ă
ӑ ă
Ӕ Æ
ӕ æ
Б B
б b
В V
в v
Г G
г g
Ѓ Ǵ
ѓ ǵ
Ғ Ġ
ғ ġ
Ҕ Ğ
ҕ ğ
Һ Ḥ
һ ḥ
Д D
д d
Ђ Đ
ђ đ
Е E
е e
Ӗ Ĕ
ӗ ĕ
Ё Ë
ё ë
Є Ê
є ê
Ж Ž
ж ž
Җ Ž̧
җ ž̧
Ӝ Z̄
ӝ z̄
Ӂ Z̆
ӂ z̆
З Z
з z
Ӟ Z̈
ӟ z̈
Ӡ Ź
ӡ ź
Ѕ Ẑ
ѕ ẑ
И I
и i
Ӣ Ī
ӣ ī
Ӥ Î
ӥ î
Й J
й j
І Ì
і ì
Ї Ï
ї ï
Ј J̌
ј ǰ
К K
к k
Ӄ Ḳ
ӄ ḳ
Ҝ K̂
ҝ k̂
Ҡ Ǩ
ҡ ǩ
Ҟ K̄
ҟ k̄
Қ Ķ
қ ķ
Ԛ Q
ԛ q
Л L
л l
Љ L̂
љ l̂
Ӆ Ļ
ӆ ļ
М M
м m
Н N
н n
Њ N̂
њ n̂
Ң Ņ
ң ņ
Ӊ Ṇ
ӊ ṇ
Ҥ Ṅ
ҥ ṅ
Ԋ Ǹ
ԋ ǹ
Ӈ Ń
ӈ ń
О O
о o
Ӧ Ö
ӧ ö
Ө Ô
ө ô
Ӫ Ő
ӫ ő
Ҩ Ò
ҩ ò
Œ Œ
œ œ
П P
п p
Ҧ Ṕ
ҧ ṕ
Р R
р r
С S
с s
Ҫ Ş
ҫ ş
Т T
т t
Ћ Ć
ћ ć
Ԏ T̀
ԏ t̀
Ҭ Ţ
ҭ ţ
Ќ Ḱ
ќ ḱ
У U
у u
Ӱ Ü
ӱ ü
Ӯ Ū
ӯ ū
Ў Ŭ
ў ŭ
Ӳ Ű
ӳ ű
Ү Ù
ү ù
Ұ U̇
ұ u̇
Ԝ W
ԝ w
Ф F
ф f
Х H
х h
Ҳ Ḩ
ҳ ḩ
Ц C
ц c
Ҵ C̄
ҵ c̄
Џ D̂
џ d̂
Ч Č
ч č
Ҷ Ç
ҷ ç
Ӌ C̣
ӌ c̣
Ӵ C̈
ӵ c̈
Ҹ Ĉ
ҹ ĉ
Ҽ C̆
ҽ c̆
Ҿ Ç̆
ҿ ç̆
Ш Š
ш š
Щ Ŝ
щ ŝ
Ы Y
ы y
Ӹ Ÿ
ӹ ÿ
Э È
э è
Ә A̋
ә a̋
Ӛ À
ӛ à
Ю Û
ю û
Я Â
я â
Ґ G̀
ґ g̀
Ѣ Ě
ѣ ě
Ѫ Ǎ
ѫ ǎ
Ѳ F̀
ѳ f̀
Ѵ Ỳ
ѵ ỳ
Ӏ ‡
Ъ ʺ
ъ ʺ
Ь ʹ
ь ʹ
